,etablissement,filiere_agregee,zone,statut_simplifie,region
7995,Université Clermont Auvergne,Licence_Las,Province,Public,Auvergne-Rhône-Alpes
7996,Université de Bordeaux - Bordeaux Métropole,PASS,Province,Public,Nouvelle-Aquitaine
7997,ESAA Boulle,Autre formation,Ile-de-France,Public,Ile-de-France
7998,Université Bordeaux Montaigne,Licence_Las,Province,Public,Nouvelle-Aquitaine
7999,Université de Lorraine - Site de Nancy,Licence_Las,Province,Public,Grand Est
8000,Université Paris 2 Panthéon - Assas,Licence,Ile-de-France,Public,Ile-de-France
8001,Université de Franche-Comté - Site de Besançon,Licence_Las,Province,Public,Bourgogne-Franche-Comté
8002,Université de Rennes 1,PASS,Province,Public,Bretagne
8003,Université Côte d'Azur,PASS,Province,Public,Provence Alpes Côte d'Azur
8004,Université Toulouse 3 Paul Sabatier,Licence_Las,Province,Public,Occitanie
8005,Université Clermont Auvergne,Licence,Province,Public,Auvergne-Rhône-Alpes
8006,Université de La Réunion - Saint Denis,Licence_Las,Outre-mer / Etranger,Public,La Réunion
8007,Université de Limoges - Antenne de Brive,Licence_Las,Province,Public,Nouvelle-Aquitaine
8008,Université du littoral - Site de Calais,Licence_Las,Province,Public,Hauts-de-France
8009,"Universite Jean Monnet, Saint-Etienne",Licence,Province,Public,Auvergne-Rhône-Alpes
8010,IFSI- Hospit. Privée,IFSI,Province,Privé,Occitanie
8011,Université Paris 8,Licence,Ile-de-France,Public,Ile-de-France
8012,Lycée professionnel Raoul Follereau,BTS,Province,Public,Bourgogne-Franche-Comté
8013,Aix Marseille Université - Site d'Aix-en-Provence,Licence_Las,Province,Public,Provence Alpes Côte d'Azur
8014,"Universite Jean Monnet, Saint-Etienne",Licence_Las,Province,Public,Auvergne-Rhône-Alpes
8015,Université d'Amiens,Licence_Las,Province,Public,Hauts-de-France
8016,Université d'Amiens,Licence_Las,Province,Public,Hauts-de-France
8017,Université Grenoble Alpes,Licence,Province,Public,Auvergne-Rhône-Alpes
8018,Université de Poitiers,Licence_Las,Province,Public,Nouvelle-Aquitaine
8019,Facultés libres de l'ouest UCO - Angers,Licence_Las,Province,Privé,Pays de la Loire
8020,Université de Rouen Normandie - Campus Martainville Rouen - UFR Santé,PASS,Province,Public,Normandie
8021,Université de Paris-Saclay - Campus de Versailles,Licence,Ile-de-France,Public,Ile-de-France
8022,"Université Paris-Saclay, Campus d'Orsay",Licence,Ile-de-France,Public,Ile-de-France
8023,Université de Pau et des Pays de l'Adour,Autre formation,Province,Public,Nouvelle-Aquitaine
8024,Université de Pau et des Pays de l'Adour,Autre formation,Province,Public,Nouvelle-Aquitaine
8025,Université de Paris,Licence_Las,Ile-de-France,Public,Ile-de-France
8026,Université de Strasbourg,Licence_Las,Province,Public,Grand Est
8031,Polytech Tours,Ecole d'Ingénieur,Province,Public,Centre-Val de Loire
8032,Grenoble INP - ESISAR Valence,Ecole d'Ingénieur,Province,Public,Auvergne-Rhône-Alpes
8033,Lycée E.J.Marey,BTS,Province,Public,Bourgogne-Franche-Comté
8034,Lycée Louis Pergaud,BTS,Province,Public,Bourgogne-Franche-Comté
8035,Lycée professionnel Pierre-Adrien Paris,BTS,Province,Public,Bourgogne-Franche-Comté
8036,Lycée professionnel Les Huisselets,BTS,Province,Public,Bourgogne-Franche-Comté
8037,Lycée St Louis,BTS,Province,Public,Nouvelle-Aquitaine
8038,Lycée Joffre,CPGE,Province,Public,Occitanie
8039,Université Paul Valery Montpellier - Site de Béziers,Licence,Province,Public,Occitanie
8040,Lycée Pierre Mendes France,BTS,Province,Public,Bretagne
8041,Lycée René Descartes,BTS,Province,Public,Bretagne
8042,Université de Tours,Licence,Province,Public,Centre-Val de Loire
8043,Lycée Jacques De Vaucanson,BTS,Province,Public,Centre-Val de Loire
8044,IUT 1 GRENOBLE,DUT,Province,Public,Auvergne-Rhône-Alpes
8045,Lycée agricole SEYSSUEL AGROTEC,BTS,Province,Public,Auvergne-Rhône-Alpes
8046,Lycée Pré Saint-Sauveur,BTS,Province,Public,Bourgogne-Franche-Comté
8047,Lycée agricole DE DAX,BTS,Province,Public,Nouvelle-Aquitaine
8048,Université de Tours - Antenne de Blois,Licence,Province,Public,Centre-Val de Loire
8049,LGT Aristide Briand,CPGE,Province,Public,Pays de la Loire
